ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Dick Skare	Garey Bies	Scattering 		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	4	28	Jefferson	Village	181	Sullivan	28181	2		116	195	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	2	11	31	4	28	Jefferson	City	292	Whitewater	28292	5	Wards 14, 15, 20 - 22	4	18	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	Town	12	Lafayette	65012	2	Wards 1 - 4	324	840	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	Town	14	La Grange	65014	2	Wards 1 - 3	408	916	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	Town	24	Spring Prairie	65024	2	Wards 1 - 4	386	820	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	Town	26	Sugar Creek	65026	2	Wards 1 - 5	742	1382	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	Town	28	Troy	65028	2	Wards 1 - 3	458	940	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	16	Wards 1 & 6	233	358	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	17	Wards 2 & 3	210	216	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	18	Wards 4, 5 & 15	324	495	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	19	Wards 7 & 8	284	469	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	20	Wards 9 & 11	317	524	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	65	Walworth	City	221	Elkhorn	65221	21	Wards 10, 12 & 13	339	440	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	68	Waukesha	Town	6	Eagle	68006	2	Wards 1 - 4	500	1398	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	Town	24	Ottawa	68024	2	Wards 1 - 5	737	1586	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	Town	28	Summit	68028	3	Wards 1 - 3	421	949	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	Town	28	Summit	68028	4	Wards 4 - 6	398	1142	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	Village	116	Dousman	68116	3	Wards 1 & 2	373	787	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	1	11	31	2	68	Waukesha	Village	121	Eagle	68121	2	Wards 1 & 2	262	752	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	Village	166	Oconomowoc Lake	68166	2		75	311	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	City	265	Oconomowoc	68265	18	Wards 7 - 9, 17 - 19	627	1185	4		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	City	265	Oconomowoc	68265	20	Wards 10 - 13, 15, 16, 23 - 25	830	1594	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 31	5	11	31	2	68	Waukesha	City	265	Oconomowoc	68265	21	Ward 20	0	0	0		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	10853	21780	38		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Doug A. Harrod	Thomas A. Lothian	John K. Finley	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican	Independent		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	30	Kenosha	Town	16	Wheatland	30016	2	Wards 1 - 5	619	930	101	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	2	Bloomfield	65002	2	Wards 1 - 7	1178	1030	145	3	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	4	Darien	65004	2	Wards 1 - 6	312	442	65	2	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	6	Delavan	65006	2	Wards 1 - 6	918	1434	192	2	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	10	Geneva	65010	3	Wards 1 - 8	1021	1219	126	2	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	16	Linn	65016	3	Wards 1, 2 & 4	346	540	60	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	16	Linn	65016	4	Wards 3 & 5	94	146	11	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	18	Lyons	65018	2	Wards 1 - 6	743	1036	82	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	22	Sharon	65022	2		138	292	28	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Town	30	Walworth	65030	2	Wards 1 - 4	262	546	66	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	116	Darien	65116	2	Wards 1 & 2	243	294	70	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	126	Fontana	65126	2	Wards 1 - 4	259	609	62	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	131	Genoa City	65131	2	Wards 1 - 3	599	516	94	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	181	Sharon	65181	2	Wards 1 & 2	262	319	63	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	191	Walworth	65191	2	Wards 1 - 3	402	654	96	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	Village	192	Williams Bay	65192	3	Wards 1 - 4	411	901	72	2	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	216	Delavan	65216	3	Wards 1 - 12	1467	1442	350	6	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	221	Elkhorn	65221	22	Wards 14, 16 - 18	14	6	1	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	246	Lake Geneva	65246	13	Wards 1, 2, 12 & 18	447	353	46	1	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	246	Lake Geneva	65246	14	Wards 3, 4, 11, 16 & 24	337	290	38	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	246	Lake Geneva	65246	15	Wards 5, 6, 9, 10, 13, 14, 17, 19 - 23	524	424	56	0	
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 32	1	11	32	2	65	Walworth	City	246	Lake Geneva	65246	16	Wards 7, 8 & 15	332	269	41	0	
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	10928	13692	1865	23	
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Scott Newcomer	Scattering 			
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican				
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	4	Delafield	68004	5	Wards 1, 2, 5 & 6	1496	9			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	4	Delafield	68004	6	Wards 3 & 4	1043	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	4	Delafield	68004	7	Wards 7 & 8	741	5			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	4	Delafield	68004	8	Wards 9 - 11	1012	6			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	8	Genesee	68008	9	Wards 1, 2 & 5	1096	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	8	Genesee	68008	10	Wards 3 & 4	877	1			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	8	Genesee	68008	11	Wards 6, 9 & 10	1013	1			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	8	Genesee	68008	12	Wards 7 & 8	750	4			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	1	11	33	2	68	Waukesha	Town	16	Mukwonago	68016	7	Wards 1, 2, 4 - 10	3363	4			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	32	Waukesha	68032	12	Ward 3	464	6			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Town	32	Waukesha	68032	16	Wards 7 & 8	707	1			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Village	111	Chenequa	68111	2		335	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Village	136	Hartland	68136	3	Wards 1 - 7	2024	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Village	136	Hartland	68136	4	Wards 8 - 13	1800	4			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	1	11	33	2	68	Waukesha	Village	153	Mukwonago	68153	5	Ward 10	0	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Village	158	Nashotah	68158	2	Wards 1 & 2	717	2			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	1	11	33	2	68	Waukesha	Village	161	North Prairie	68161	3	Wards 1 - 3	1012	2			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	Village	191	Wales	68191	2	Wards 1 - 3	1249	5			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	216	Delafield	68216	5	Wards 1 - 7	3185	5			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	270	Pewaukee	68270	19	Ward 7	451	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	81	Ward 8	638	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	83	Ward 10	396	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	84	Ward 11	693	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	85	Ward 12	814	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	86	Ward 13	856	2			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	87	Ward 14	41	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	88	Ward 15	587	6			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	112	Ward 39	370	2			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	122	Ward 49	9	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	124	Ward 51	7	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	126	Ward 53	0	0			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 33	5	11	33	2	68	Waukesha	City	291	Waukesha	68291	131	Ward 58	0	0			
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	27746	65			
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Paul Tubbs	Dan Meyer	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	4	Crescent	44004	2	Wards 1 - 3	801	496	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	6	Enterprise	44006	2		106	101	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	8	Hazelhurst	44008	2	Wards 1 & 2	360	418	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	10	Lake Tomahawk	44010	2	Wards 1 & 2	304	348	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	16	Minocqua	44016	2	Wards 1 - 6	1159	1758	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	18	Monico	44018	2		88	65	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	20	Newbold	44020	2	Wards 1 - 4	894	709	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	20	Newbold	44020	3	Ward 5	63	33	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	24	Pelican	44024	2	Wards 1 - 5	1019	538	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	26	Piehl	44026	2		40	17	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	28	Pine Lake	44028	2	Wards 1 - 4	1013	630	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	Town	30	Schoepke	44030	2		108	112	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	32	Stella	44032	2		225	138	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	34	Sugar Camp	44034	2	Wards 1 & 2	556	519	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	36	Three Lakes	44036	2	Wards 1 - 3	633	814	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	44	Oneida	Town	40	Woodruff	44040	2	Wards 1 - 3	526	645	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	9	Wards 1 & 2	308	144	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	10	Wards 3 & 4	265	141	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	11	Wards 5 - 7	368	172	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	12	Wards 8 & 9	288	119	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	13	Wards 10 & 11	345	228	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	14	Wards 12 - 14	221	131	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	15	Wards 15 - 17	320	129	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	7	12	34	3	44	Oneida	City	276	Rhinelander	44276	16	Wards 18 - 20	353	197	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	2	Arbor Vitae	64002	3	Wards 1 - 4	842	1133	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	4	Boulder Junction	64004	2	Wards 1 & 2	276	448	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	6	Cloverland	64006	3		264	426	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	8	Conover	64008	2	Wards 1 - 3	345	442	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	10	Lac du Flambeau	64010	2	Wards 1 - 3	918	584	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	12	Land O'Lakes	64012	2		231	367	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	14	Lincoln	64014	3	Wards 1 - 4	638	922	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	16	Manitowish Waters	64016	2		155	344	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	18	Phelps	64018	2	Wards 1 & 2	330	471	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	20	Plum Lake	64020	2	Wards 1 & 2	151	210	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	22	Presque Isle	64022	2		214	342	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	24	St Germain	64024	2	Wards 1 & 2	559	832	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	26	Washington	64026	3	Wards 1 - 3	428	581	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	Town	28	Winchester	64028	2		124	196	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 34	8	12	34	3	64	Vilas	City	221	Eagle River	64221	3	Wards 1 - 5	254	400	0		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	16092	16300	24		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Jay Schmelling	Don Friske	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	2	Ackley	34002	2		102	164	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	8	12	35	3	34	Langlade	Town	4	Ainsworth	34004	2		123	166	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	6	Antigo	34006	2	Wards 1 & 2	273	495	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	8	Elcho	34008	2	Wards 1 - 3	301	415	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	14	Neva	34014	2		180	306	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	8	12	35	3	34	Langlade	Town	16	Norwood	34016	2	Wards 1 & 2	139	332	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	18	Parrish	34018	2		25	31	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	20	Peck	34020	2		69	136	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	26	Rolling	34026	2	Wards 1 & 2	256	460	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	28	Summit	34028	2		45	60	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	30	Upham	34030	2		177	287	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	Town	32	Vilas	34032	2		45	64	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	13	Ward 1	163	229	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	14	Ward 2	174	240	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	15	Ward 3	165	206	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	16	Ward 4	183	206	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	17	Ward 5	163	180	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	18	Ward 6	142	208	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	19	Ward 7	184	273	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	20	Ward 8	158	215	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	34	Langlade	City	201	Antigo	34201	21	Ward 9	176	234	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	2	Birch	35002	2	Wards 1 & 2	105	141	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	4	Bradley	35004	3	Wards 1 - 4	550	927	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	6	Corning	35006	2		210	238	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	8	Harding	35008	2		83	146	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	10	Harrison	35010	4	Wards 1 - 4	203	330	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	12	King	35012	2		231	339	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	14	Merrill	35014	5	Wards 1 - 5	721	880	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	16	Pine River	35016	2	Wards 1 - 3	511	566	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	18	Rock Falls	35018	5	Wards 1 & 2	154	224	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	20	Russell	35020	3		157	187	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	22	Schley	35022	2	Wards 1 & 2	220	261	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	24	Scott	35024	2	Wards 1 & 2	348	415	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	26	Skanawan	35026	2		92	151	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	28	Somo	35028	2		29	40	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	30	Tomahawk	35030	2	Wards 1 & 2	91	142	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	Town	32	Wilson	35032	2		62	126	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	City	251	Merrill	35251	9	Ward 1	292	304	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	City	251	Merrill	35251	10	Ward 2	320	287	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	City	251	Merrill	35251	11	Ward 3	250	232	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 35	7	12	35	3	35	Lincoln	City	251	Merrill	35251	12	Ward 4	280	268	0		
